,4:00:00,5:00:00,6:00:00,7:00:00,8:00:00,9:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00
1/1/2022,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
1/15/2022,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
2/1/2022,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
2/15/2022,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
3/1/2022,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
3/15/2022,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4/1/2022,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4/15/2022,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5/1/2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5/15/2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6/1/2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6/15/2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7/1/2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7/15/2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/1/2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/15/2022,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9/1/2022,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9/15/2022,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10/1/2022,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10/15/2022,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
11/1/2022,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11/15/2022,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
12/1/2022,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
12/15/2022,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
