,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00
01/01/2022,,,,0.5,1,1,1,1,1,0.412783751493428,0.915173237753883,1,0.583333333333334,,,,
01/15/2022,,,,0.583333333333334,1,1,1,0.969534050179212,0.77479091995221,0.459080047789726,0.895161290322581,1,0.833333333333337,,,,
02/01/2022,,,,0.75,1,1,0.982676224611708,0.903225806451614,0.464456391875747,0.0824372759856632,0.744623655913978,1,1,0.166666666666666,,,
02/15/2022,,,0.0833333333333331,1,1,1,0.892174432497013,0.479689366786141,0.108124253285544,0,0.609617682198328,1,1,0.5,,,
03/01/2022,,,0.416666666666668,1,1,1,0.735961768219833,0.318996415770609,0.0316606929510155,0.00776583034647551,0.701015531660695,1,1,0.75,,,
03/15/2022,,,0.75,1,1,0.959677419354839,0.540919952210275,0.186081242532855,0.0017921146953405,0.0188172043010753,0.790919952210275,1,1,1,,,
04/01/2022,,0.25,1,0.99820788530466,0.862007168458781,0.709677419354839,0.347670250896057,0.0618279569892473,0,0.0567502986857827,0.93727598566308,1,1,1,0.333333333333332,,
04/15/2022,,0.583333333333334,1,0.937574671445639,0.609916367980884,0.510454002389486,0.229988052568698,0.0158303464755078,0,0.257168458781362,1,1,1,1,0.583333333333334,,
05/01/2022,,1,1,0.793309438470729,0.430406212664277,0.331242532855436,0.1305256869773,0,0,0.534647550776581,1,1,1,1,0.833333333333337,,
05/15/2022,0.25,1,1,0.741636798088411,0.333333333333333,0.226702508960573,0.0716845878136201,0,0,0.644862604540027,1,1,1,1,1,0.0833333333333331,
06/01/2022,0.416666666666668,1,1,0.657407407407407,0.264934289127838,0.151433691756272,0.03584229390681,0,0.001194743130227,0.708781362007166,0.988052568697731,1,1,1,1,0.333333333333332,
06/15/2022,0.5,1,1,0.66726403823178,0.253584229390681,0.126941457586619,0.0268817204301075,0,0.001194743130227,0.657407407407411,0.975507765830345,1,1,1,1,0.416666666666668,
07/01/2022,0.416666666666668,1,1,0.709976105137396,0.265232974910394,0.134408602150538,0.03584229390681,0,0,0.598566308243728,0.987455197132617,1,1,1,1,0.5,
07/15/2022,0.25,1,1,0.78494623655914,0.313321385902031,0.169056152927121,0.0621266427718041,0,0,0.579151732377538,1,1,1,1,1,0.416666666666668,
08/01/2022,,1,1,0.826463560334528,0.391875746714456,0.26284348864994,0.123357228195938,0,0,0.463859020310635,1,1,1,1,1,0.166666666666666,
08/15/2022,,0.75,1,0.860513739545998,0.48805256869773,0.39336917562724,0.181003584229391,0.00567502986857826,0,0.374253285543606,1,1,1,1,0.833333333333337,,
09/01/2022,,0.5,1,0.967443249701314,0.683094384707288,0.570489844683393,0.263142174432497,0.0259856630824373,0,0.178912783751494,1,1,1,1,0.416666666666668,,
09/15/2022,,0.25,1,0.998506571087216,0.921744324970131,0.714456391875747,0.341696535244922,0.0570489844683393,0,0.0863201911589005,0.972520908004778,1,1,1,0.0833333333333331,,
10/01/2022,,,1,1,1,0.895758661887694,0.448924731182796,0.109318996415771,0,0.116786140979689,1,1,1,0.583333333333334,,,
10/15/2022,,,0.75,1,1,0.959080047789725,0.57347670250896,0.200418160095579,0.000896057347670251,0.164575866188771,1,1,1,0.25,,,
11/01/2022,,,0.416666666666668,1,1,0.999402628434887,0.758960573476703,0.335424133811231,0.0200119474313023,0.0570489844683395,1,1,0.833333333333337,,,,
11/15/2022,,,0.166666666666666,1,1,1,1,0.657108721624851,0.583034647550777,0.40621266427718,1,1,0.583333333333334,,,,
12/01/2022,,,,0.833333333333337,1,1,1,0.918160095579452,0.829151732377539,0.428614097968937,0.994026284348866,1,0.416666666666668,,,,
12/15/2022,,,,0.666666666666665,1,1,1,1,0.977598566308243,0.400836320191159,0.97311827956989,1,0.416666666666668,,,,
