,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00
01/01/2022,,,,0,0,0,0,0,0,0.58721624850657,0.084826762246117,0,0,,,,
01/15/2022,,,,0,0,0,0,0.0304659498207885,0.22520908004779,0.540919952210276,0.104838709677419,0,0,,,,
02/01/2022,,,,0,0,0,0.0173237753882915,0.0967741935483871,0.535543608124254,0.917562724014335,0.255376344086021,0,0,0,,,
02/15/2022,,,0,0,0,0,0.107825567502987,0.520310633213859,0.891875746714456,1,0.390382317801674,0,0,0,,,
03/01/2022,,,0,0,0,0,0.264038231780167,0.681003584229391,0.968339307048985,0.992234169653524,0.298984468339307,0,0,0,,,
03/15/2022,,,0,0,0,0.0403225806451613,0.459080047789725,0.813918757467145,0.99820788530466,0.981182795698925,0.209080047789725,0,0,0,,,
04/01/2022,,0,0,0.0017921146953405,0.137992831541219,0.290322580645161,0.652329749103943,0.938172043010753,1,0.943249701314217,0.0627240143369175,0,0,0,0,,
04/15/2022,,0,0,0.0624253285543608,0.390083632019116,0.489545997610514,0.770011947431303,0.984169653524493,1,0.742831541218641,0,0,0,0,0,,
05/01/2022,,0,0,0.206690561529271,0.569593787335723,0.668757467144564,0.8694743130227,1,1,0.465352449223415,0,0,0,0,0,,
05/15/2022,0,0,0,0.258363201911589,0.666666666666667,0.773297491039426,0.92831541218638,1,1,0.355137395459977,0,0,0,0,0,0,
06/01/2022,0,0,0,0.342592592592592,0.735065710872162,0.848566308243728,0.96415770609319,1,0.998805256869773,0.291218637992831,0.01194743130227,0,0,0,0,0,
06/15/2022,0,0,0,0.33273596176822,0.746415770609319,0.873058542413381,0.973118279569892,1,0.998805256869773,0.342592592592593,0.0244922341696535,0,0,0,0,0,
07/01/2022,0,0,0,0.290023894862604,0.734767025089606,0.865591397849462,0.96415770609319,1,1,0.401433691756273,0.0125448028673835,0,0,0,0,0,
07/15/2022,0,0,0,0.21505376344086,0.686678614097969,0.830943847072879,0.937873357228196,1,1,0.420848267622461,0,0,0,0,0,0,
08/01/2022,,0,0,0.173536439665472,0.608124253285543,0.73715651135006,0.876642771804062,1,1,0.536140979689365,0,0,0,0,0,0,
08/15/2022,,0,0,0.139486260454002,0.51194743130227,0.60663082437276,0.818996415770609,0.994324970131422,1,0.625746714456392,0,0,0,0,0,,
09/01/2022,,0,0,0.0325567502986858,0.316905615292712,0.429510155316607,0.736857825567503,0.974014336917562,1,0.821087216248502,0,0,0,0,0,,
09/15/2022,,0,0,0.00149342891278375,0.0782556750298686,0.285543608124254,0.658303464755077,0.942951015531661,1,0.9136798088411,0.027479091995221,0,0,0,0,,
10/01/2022,,,0,0,0,0.104241338112306,0.551075268817205,0.890681003584229,1,0.88321385902031,0,0,0,0,,,
10/15/2022,,,0,0,0,0.0409199522102748,0.42652329749104,0.799581839904421,0.99910394265233,0.835424133811228,0,0,0,0,,,
11/01/2022,,,0,0,0,0.000597371565113501,0.241039426523298,0.66457586618877,0.979988052568697,0.94295101553166,0,0,0,,,,
11/15/2022,,,0,0,0,0,0,0.34289127837515,0.416965352449222,0.593787335722819,0,0,0,,,,
12/01/2022,,,,0,0,0,0,0.0818399044205494,0.170848267622461,0.571385902031064,0.005973715651135,0,0,,,,
12/15/2022,,,,0,0,0,0,0,0.0224014336917563,0.599163679808843,0.0268817204301075,0,0,,,,
