,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00
01/01/2022,,,,0,0,0,0,0,0,0,0,0,0,,,,
01/15/2022,,,,0,0,0,0,0,0,0,0,0,0,,,,
02/01/2022,,,,0,0,0,0,0,0,0,0,0,0,0,,,
02/15/2022,,,0,0,0,0,0,0,0,0,0,0,0,0,,,
03/01/2022,,,0,0,0,0,0,0,0,0,0,0,0,0,,,
03/15/2022,,,0,0,0,0,0,0,0,0,0,0,0,0,,,
04/01/2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
04/15/2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
05/01/2022,,0,0,0,0,0.0603345280764636,0.519713261648745,0.867084826762246,0.999701314217443,0.438769414575864,0,0,0,0,0,,
05/15/2022,0,0,0,0,0,0.0373357228195938,0.489247311827957,0.908900836320191,0.995519713261649,0.338709677419356,0,0,0,0,0,0,
06/01/2022,0,0,0,0,0,0.00955794504181601,0.38978494623656,0.924133811230585,0.991636798088411,0.278076463560334,0.01194743130227,0,0,0,0,0,
06/15/2022,0,0,0,0,0,0.002389486260454,0.320191158900837,0.897252090800478,0.9889486260454,0.320191158900836,0.0244922341696535,0,0,0,0,0,
07/01/2022,0,0,0,0,0,0.0029868578255675,0.288530465949821,0.891278375149344,0.994623655913978,0.374551971326165,0.0125448028673835,0,0,0,0,0,
07/15/2022,0,0,0,0,0,0.00448028673835125,0.322281959378734,0.876045400238948,0.997610513739546,0.399940262843488,0,0,0,0,0,0,
08/01/2022,,0,0,0,0,0.0176224611708483,0.414575866188769,0.855436081242534,1,0.515232974910392,0,0,0,0,0,0,
08/15/2022,,0,0,0,0,0.0388291517323775,0.468936678614098,0.818697729988053,0.995519713261648,0.597371565113502,0,0,0,0,0,,
09/01/2022,,0,0,0,0,0.0722819593787336,0.492831541218638,0.777479091995221,0.985961768219833,0.777777777777774,0,0,0,0,0,,
09/15/2022,,0,0,0,0,0.109020310633214,0.491039426523297,0.740143369175627,0.967741935483871,0.854241338112306,0.027479091995221,0,0,0,0,,
10/01/2022,,,0,0,0,0.0878136200716846,0.437873357228196,0.71326164874552,0.947729988052568,0.846176821983273,0,0,0,0,,,
10/15/2022,,,0,0,0,0.0280764635603345,0.317801672640382,0.659498207885305,0.922043010752688,0.788829151732375,0,0,0,0,,,
11/01/2022,,,0,0,0,0,0,0,0,0,0,0,0,,,,
11/15/2022,,,0,0,0,0,0,0,0,0,0,0,0,,,,
12/01/2022,,,,0,0,0,0,0,0,0,0,0,0,,,,
12/15/2022,,,,0,0,0,0,0,0,0,0,0,0,,,,
