,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00
01/01/2022,,,,0.5,1,1,1,1,1,1,1,1,0.583333333333334,,,,
01/15/2022,,,,0.583333333333334,1,1,1,1,1,1,1,1,0.833333333333337,,,,
02/01/2022,,,,0.75,1,1,1,1,1,1,1,1,1,0.166666666666666,,,
02/15/2022,,,0.0833333333333331,1,1,1,1,1,1,1,1,1,1,0.5,,,
03/01/2022,,,0.416666666666668,1,1,1,1,1,1,1,1,1,1,0.75,,,
03/15/2022,,,0.75,1,1,1,1,1,1,1,1,1,1,1,,,
04/01/2022,,0.25,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333333332,,
04/15/2022,,0.583333333333334,1,1,1,1,1,1,1,1,1,1,1,1,0.583333333333334,,
05/01/2022,,1,1,1,1,0.939665471923537,0.480286738351254,0.132915173237754,0.00029868578255675,0.561230585424131,1,1,1,1,0.833333333333337,,
05/15/2022,0.25,1,1,1,1,0.962664277180406,0.510752688172043,0.0910991636798088,0.00448028673835125,0.661290322580649,1,1,1,1,1,0.0833333333333331,
06/01/2022,0.416666666666668,1,1,1,1,0.990442054958184,0.610215053763441,0.0758661887694146,0.00836320191158901,0.721923536439663,0.988052568697731,1,1,1,1,0.333333333333332,
06/15/2022,0.5,1,1,1,1,0.997610513739546,0.679808841099163,0.102747909199522,0.0110513739545998,0.679808841099168,0.975507765830345,1,1,1,1,0.416666666666668,
07/01/2022,0.416666666666668,1,1,1,1,0.997013142174433,0.71146953405018,0.108721624850657,0.0053763440860215,0.625448028673836,0.987455197132617,1,1,1,1,0.5,
07/15/2022,0.25,1,1,1,1,0.995519713261649,0.677718040621267,0.123954599761051,0.002389486260454,0.60005973715651,1,1,1,1,1,0.416666666666668,
08/01/2022,,1,1,1,1,0.982377538829152,0.58542413381123,0.144563918757467,0,0.484767025089608,1,1,1,1,1,0.166666666666666,
08/15/2022,,0.75,1,1,1,0.961170848267623,0.531063321385902,0.181302270011947,0.00448028673835125,0.402628434886497,1,1,1,1,0.833333333333337,,
09/01/2022,,0.5,1,1,1,0.927718040621266,0.507168458781362,0.222520908004779,0.0140382317801673,0.222222222222222,1,1,1,1,0.416666666666668,,
09/15/2022,,0.25,1,1,1,0.890979689366786,0.508960573476703,0.259856630824373,0.032258064516129,0.145758661887695,0.972520908004778,1,1,1,0.0833333333333331,,
10/01/2022,,,1,1,1,0.912186379928315,0.562126642771804,0.28673835125448,0.0522700119474313,0.153823178016728,1,1,1,0.583333333333334,,,
10/15/2022,,,0.75,1,1,0.971923536439665,0.682198327359618,0.340501792114695,0.0779569892473119,0.211170848267624,1,1,1,0.25,,,
11/01/2022,,,0.416666666666668,1,1,1,1,1,1,1,1,1,0.833333333333337,,,,
11/15/2022,,,0.166666666666666,1,1,1,1,1,1,1,1,1,0.583333333333334,,,,
12/01/2022,,,,0.833333333333337,1,1,1,1,1,1,1,1,0.416666666666668,,,,
12/15/2022,,,,0.666666666666665,1,1,1,1,1,1,1,1,0.416666666666668,,,,
