,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00
01/01/2022,,,,0,0,0,0,0,0,0.58721624850657,0.084826762246117,0,0,,,,
01/15/2022,,,,0,0,0,0,0.0304659498207885,0.22520908004779,0.540919952210276,0.104838709677419,0,0,,,,
02/01/2022,,,,0,0,0,0.0173237753882915,0.0967741935483871,0.535543608124254,0.917562724014335,0.255376344086021,0,0,0,,,
02/15/2022,,,0,0,0,0,0.107825567502987,0.520310633213859,0.891875746714456,1,0.390382317801674,0,0,0,,,
03/01/2022,,,0,0,0,0,0.264038231780167,0.681003584229391,0.968339307048985,0.992234169653524,0.298984468339307,0,0,0,,,
03/15/2022,,,0,0,0,0.0403225806451613,0.459080047789725,0.813918757467145,0.99820788530466,0.981182795698925,0.209080047789725,0,0,0,,,
04/01/2022,,0,0,0.0017921146953405,0.137992831541219,0.290322580645161,0.652329749103943,0.938172043010753,1,0.943249701314217,0.0627240143369175,0,0,0,0,,
04/15/2022,,0,0,0.0624253285543608,0.390083632019116,0.489545997610514,0.770011947431303,0.984169653524493,1,0.742831541218641,0,0,0,0,0,,
05/01/2022,,0,0,0.206690561529271,0.569593787335723,0.6084229390681,0.349761051373955,0.132915173237754,0.00029868578255675,0.0265830346475508,0,0,0,0,0,,
05/15/2022,0,0,0,0.258363201911589,0.666666666666667,0.735961768219833,0.439068100358423,0.0910991636798088,0.00448028673835125,0.0164277180406213,0,0,0,0,0,0,
06/01/2022,0,0,0,0.342592592592592,0.735065710872162,0.839008363201912,0.574372759856631,0.0758661887694146,0.00716845878136201,0.013142174432497,0,0,0,0,0,0,
06/15/2022,0,0,0,0.33273596176822,0.746415770609319,0.870669056152927,0.652927120669056,0.102747909199522,0.00985663082437276,0.0224014336917563,0,0,0,0,0,0,
07/01/2022,0,0,0,0.290023894862604,0.734767025089606,0.862604540023895,0.675627240143369,0.108721624850657,0.0053763440860215,0.0268817204301075,0,0,0,0,0,0,
07/15/2022,0,0,0,0.21505376344086,0.686678614097969,0.826463560334528,0.615591397849462,0.123954599761051,0.002389486260454,0.0209080047789725,0,0,0,0,0,0,
08/01/2022,,0,0,0.173536439665472,0.608124253285543,0.719534050179211,0.462066905615293,0.144563918757467,0,0.0209080047789725,0,0,0,0,0,0,
08/15/2022,,0,0,0.139486260454002,0.51194743130227,0.567801672640382,0.350059737156511,0.175627240143369,0.00448028673835125,0.0283751493428913,0,0,0,0,0,,
09/01/2022,,0,0,0.0325567502986858,0.316905615292712,0.357228195937874,0.244026284348865,0.196535244922342,0.0140382317801673,0.0433094384707288,0,0,0,0,0,,
09/15/2022,,0,0,0.00149342891278375,0.0782556750298686,0.176523297491039,0.16726403823178,0.202807646356033,0.032258064516129,0.0594384707287933,0,0,0,0,0,,
10/01/2022,,,0,0,0,0.0164277180406213,0.113201911589008,0.17741935483871,0.0522700119474313,0.0370370370370371,0,0,0,0,,,
10/15/2022,,,0,0,0,0.0128434886499403,0.108721624850657,0.140083632019116,0.0770609318996416,0.046594982078853,0,0,0,0,,,
11/01/2022,,,0,0,0,0.000597371565113501,0.241039426523298,0.66457586618877,0.979988052568697,0.94295101553166,0,0,0,,,,
11/15/2022,,,0,0,0,0,0,0.34289127837515,0.416965352449222,0.593787335722819,0,0,0,,,,
12/01/2022,,,,0,0,0,0,0.0818399044205494,0.170848267622461,0.571385902031064,0.005973715651135,0,0,,,,
12/15/2022,,,,0,0,0,0,0,0.0224014336917563,0.599163679808843,0.0268817204301075,0,0,,,,
