,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00
01/01/2022,,,,,0.0577777777777777,0.486481481481481,0.400925925925926,0.278888888888889,0,0,0,0,0,,,,
01/15/2022,,,,,0.0498148148148148,0.546111111111111,0.520925925925926,0.343703703703704,0,0,0,0,0,,,,
02/01/2022,,,,,0.13962962962963,0.64074074074074,0.743333333333333,0.513333333333332,0,0,0,0,0,0,,,
02/15/2022,,,,0.0244444444444444,0.209814814814815,0.705000000000001,0.882962962962964,0.670185185185185,0.00166666666666667,0,0,0,0,0,,,
03/01/2022,,,,0.178703703703704,0.19,0.782407407407408,0.932222222222222,0.653518518518518,0.000555555555555556,0,0,0,0,0,,,
03/15/2022,,,,0.415,0.413888888888889,0.912222222222223,0.939259259259259,0.679259259259259,0.000925925925925926,0,0,0,0,0,,,
04/01/2022,,,0.162407407407408,0.587037037037037,0.777037037037037,0.922222222222222,0.945925925925926,0.671111111111111,0,0,0,0,0,0,0,,
04/15/2022,,,0.158888888888889,0.638703703703704,0.827037037037038,0.92074074074074,0.951666666666667,0.598333333333334,0,0,0,0,0,0,0,,
05/01/2022,,0,0.0366666666666666,0.588703703703703,0.802407407407407,0.920925925925926,0.958148148148148,0.647222222222222,0,0,0,0,0,0,0,,
05/15/2022,,0,0.00388888888888889,0.547592592592592,0.781666666666667,0.899259259259259,0.95962962962963,0.624444444444444,0,0,0,0,0,0,0,0,
06/01/2022,,0,0,0.513518518518518,0.762222222222222,0.904444444444445,0.91888888888889,0.663888888888889,0,0,0,0,0,0,0,0,
06/15/2022,,0,0.00111111111111111,0.432592592592593,0.743518518518518,0.896851851851852,0.919259259259259,0.75925925925926,0,0,0,0,0,0,0,0,
07/01/2022,,0,0,0.415,0.732962962962963,0.88962962962963,0.917962962962963,0.779259259259259,0.00037037037037037,0,0,0,0,0,0,0,
07/15/2022,,0,0,0.446666666666666,0.74,0.891296296296296,0.924814814814814,0.81,0.000185185185185185,0,0,0,0,0,0,0,
08/01/2022,,0,0,0.442407407407407,0.767962962962963,0.895185185185186,0.958148148148148,0.776111111111112,0,0,0,0,0,0,0,0,
08/15/2022,,,0.0292592592592593,0.546851851851852,0.795370370370371,0.915925925925926,0.957222222222222,0.765,0,0,0,0,0,0,0,,
09/01/2022,,,0.228703703703704,0.636666666666667,0.832222222222222,0.926481481481482,0.95037037037037,0.62925925925926,0,0,0,0,0,0,0,,
09/15/2022,,,0.182037037037037,0.544074074074074,0.767592592592593,0.941111111111111,0.943518518518518,0.509259259259259,0,0,0,0,0,0,0,,
10/01/2022,,,0.116296296296296,0.373888888888889,0.537592592592593,0.927592592592592,0.938703703703704,0.333888888888889,0,0,0,0,0,0,,,
10/15/2022,,,,0.140740740740741,0.406481481481482,0.908518518518518,0.927037037037037,0.262222222222222,0,0,0,0,0,0,,,
11/01/2022,,,,0.0424074074074074,0.442962962962962,0.807592592592592,0.860555555555556,0.182037037037037,0,0,0,0,0,,,,
11/15/2022,,,,0.0203703703703704,0.332037037037037,0.673333333333333,0.596296296296298,0.151111111111111,0,0,0,0,0,,,,
12/01/2022,,,,,0.173703703703703,0.558333333333333,0.440185185185185,0.162777777777778,0,0,0,0,0,,,,
12/15/2022,,,,,0.0966666666666667,0.499814814814815,0.363148148148148,0.210370370370371,0,0,0,0,0,,,,
