,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00
01/01/2022,,,,,1,1,1,0.624444444444445,0.503888888888889,0.183333333333333,0.618333333333333,1,0.583333333333336,,,,
01/15/2022,,,,,1,1,1,0.661851851851852,0.392592592592591,0.231296296296296,0.531851851851853,1,0.83333333333333,,,,
02/01/2022,,,,,0.994814814814815,1,1,0.697777777777777,0.205370370370371,0.124259259259259,0.558518518518517,1,1,0.166666666666667,,,
02/15/2022,,,,1,0.979444444444444,1,1,0.757037037037037,0.0803703703703704,0.0887037037037037,0.640925925925928,1,1,0.5,,,
03/01/2022,,,,1,0.979444444444445,1,1,0.721851851851852,0.0727777777777778,0.097962962962963,0.66518518518519,1,1,0.75,,,
03/15/2022,,,,1,0.975555555555555,1,1,0.74,0.0661111111111111,0.105185185185185,0.74685185185185,1,1,1,,,
04/01/2022,,,1,1,1,0.980925925925926,1,0.722962962962964,0.0618518518518519,0.155740740740741,0.892407407407407,1,1,1,0.333333333333333,,
04/15/2022,,,1,1,1,0.979814814814814,1,0.64925925925926,0.0505555555555555,0.303888888888889,0.974629629629629,0.99,0.908703703703704,1,0.583333333333336,,
05/01/2022,,0.99425925925926,0.999259259259259,1,1,0.989629629629631,1,0.69537037037037,0.0474074074074074,0.519999999999999,0.961666666666668,0.852962962962962,0.824074074074074,1,0.83333333333333,,
05/15/2022,,0.964629629629629,0.948703703703704,1,1,0.980740740740741,1,0.668333333333333,0.0459259259259259,0.606481481481483,0.846851851851852,0.730185185185185,0.818888888888889,1,1,0.0833333333333333,
06/01/2022,,0.995,0.849444444444445,0.945,1,0.997222222222222,0.959074074074075,0.702592592592592,0.0424074074074074,0.563888888888887,0.706851851851852,0.669444444444444,0.804999999999999,0.953888888888888,1,0.325,
06/15/2022,,0.999074074074074,0.817962962962963,0.871296296296296,1,1,0.961666666666666,0.795,0.0433333333333333,0.502037037037036,0.644074074074074,0.641666666666667,0.766481481481481,0.889814814814814,1,0.402777777777777,
07/01/2022,,0.99962962962963,0.836111111111111,0.875925925925925,1,1,0.960370370370371,0.81537037037037,0.0405555555555556,0.466666666666669,0.694444444444444,0.636111111111111,0.761666666666667,0.902037037037036,1,0.483333333333334,
07/15/2022,,0.995925925925927,0.901851851851851,0.970000000000001,1,1,0.965185185185185,0.848518518518519,0.042962962962963,0.476481481481482,0.778703703703703,0.668333333333334,0.778333333333333,0.986111111111111,1,0.408333333333332,
08/01/2022,,0.983333333333333,0.934074074074074,1,1,0.991481481481482,0.999444444444444,0.820000000000001,0.0459259259259259,0.424259259259259,0.921481481481482,0.776111111111111,0.769259259259259,1,1,0.166666666666667,
08/15/2022,,,1,1,1,0.987407407407408,1,0.814259259259259,0.0488888888888889,0.378518518518518,0.976481481481482,0.922962962962964,0.822592592592593,1,0.83333333333333,,
09/01/2022,,,1,1,1,0.984814814814815,1,0.681481481481482,0.0568518518518518,0.25037037037037,0.951666666666665,1,0.990000000000001,1,0.416666666666665,,
09/15/2022,,,1,1,0.977592592592592,1,1,0.563518518518518,0.0646296296296296,0.196111111111111,0.94462962962963,1,1,1,0.0833333333333333,,
10/01/2022,,,1,1,0.983703703703704,1,1,0.398518518518519,0.0692592592592592,0.18,0.955740740740741,1,1,0.583333333333336,,,
10/15/2022,,,,0.989074074074075,0.979444444444444,1,1,0.332407407407408,0.0775925925925926,0.199444444444444,0.986481481481484,1,1,0.25,,,
11/01/2022,,,,0.978518518518518,1,1,0.996296296296296,0.266666666666667,0.0809259259259259,0.173518518518519,0.982962962962963,1,0.83333333333333,,,,
11/15/2022,,,,0.980555555555555,1,1,0.992407407407407,0.262777777777778,0.380925925925926,0.147037037037037,0.957592592592594,1,0.583333333333336,,,,
12/01/2022,,,,,1,1,0.995185185185185,0.370740740740741,0.525925925925924,0.157777777777778,0.803703703703709,1,0.416666666666665,,,,
12/15/2022,,,,,1,1,1,0.533703703703704,0.557962962962961,0.178888888888889,0.722962962962963,1,0.416666666666665,,,,
