,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00
01/01/2022,,,,0.499074074074074,0.942222222222223,0.513518518518519,0.599074074074074,0.345555555555556,0.503888888888889,0.183333333333333,0.618333333333333,1,0.583333333333336,,,,
01/15/2022,,,,0.548703703703707,0.950185185185186,0.453888888888889,0.479074074074074,0.318148148148148,0.392592592592591,0.231296296296296,0.531851851851853,1,0.83333333333333,,,,
02/01/2022,,,,0.725,0.855185185185185,0.359259259259259,0.256666666666667,0.184444444444444,0.205370370370371,0.124259259259259,0.558518518518517,1,1,0.166666666666667,,,
02/15/2022,,,0.0833333333333333,0.975555555555556,0.769629629629629,0.295,0.117037037037037,0.0868518518518518,0.0787037037037037,0.0887037037037037,0.640925925925928,1,1,0.5,,,
03/01/2022,,,0.416666666666665,0.821296296296297,0.789444444444444,0.217592592592593,0.0677777777777778,0.0683333333333333,0.0722222222222222,0.097962962962963,0.66518518518519,1,1,0.75,,,
03/15/2022,,,0.747962962962963,0.585,0.561666666666667,0.0877777777777777,0.0607407407407407,0.0607407407407407,0.0651851851851852,0.105185185185185,0.74685185185185,1,1,1,,,
04/01/2022,,0.25,0.837592592592594,0.412962962962963,0.222962962962963,0.0587037037037037,0.0540740740740741,0.0518518518518519,0.0618518518518519,0.155740740740741,0.892407407407407,1,1,1,0.333333333333333,,
04/15/2022,,0.583333333333336,0.841111111111111,0.361296296296296,0.172962962962963,0.0590740740740741,0.0483333333333333,0.0509259259259259,0.0505555555555555,0.303888888888889,0.974629629629629,0.99,0.908703703703704,1,0.583333333333336,,
05/01/2022,,0.99425925925926,0.962592592592592,0.411296296296297,0.197592592592593,0.0687037037037037,0.0418518518518518,0.0481481481481481,0.0474074074074074,0.519999999999999,0.961666666666668,0.852962962962962,0.824074074074074,1,0.83333333333333,,
05/15/2022,0.25,0.964629629629629,0.944814814814815,0.452407407407408,0.218333333333333,0.0814814814814815,0.0403703703703704,0.0438888888888889,0.0459259259259259,0.606481481481483,0.846851851851852,0.730185185185185,0.818888888888889,1,1,0.0833333333333333,
06/01/2022,0.416666666666665,0.995,0.849444444444445,0.431481481481482,0.237777777777778,0.0927777777777778,0.0401851851851852,0.0387037037037037,0.0424074074074074,0.563888888888887,0.706851851851852,0.669444444444444,0.804999999999999,0.953888888888888,1,0.325,
06/15/2022,0.5,0.999074074074074,0.816851851851852,0.438703703703704,0.256481481481481,0.103148148148148,0.0424074074074074,0.0357407407407407,0.0433333333333333,0.502037037037036,0.644074074074074,0.641666666666667,0.766481481481481,0.889814814814814,1,0.402777777777777,
07/01/2022,0.416666666666665,0.99962962962963,0.836111111111111,0.460925925925925,0.267037037037037,0.11037037037037,0.0424074074074074,0.0361111111111111,0.0401851851851852,0.466666666666669,0.694444444444444,0.636111111111111,0.761666666666667,0.902037037037036,1,0.483333333333334,
07/15/2022,0.25,0.995925925925927,0.901851851851851,0.523333333333334,0.26,0.108703703703704,0.0403703703703704,0.0385185185185185,0.0427777777777778,0.476481481481482,0.778703703703703,0.668333333333334,0.778333333333333,0.986111111111111,1,0.408333333333332,
08/01/2022,,0.983333333333333,0.934074074074074,0.557592592592593,0.232037037037037,0.0962962962962963,0.0412962962962963,0.0438888888888889,0.0459259259259259,0.424259259259259,0.921481481481482,0.776111111111111,0.769259259259259,1,1,0.166666666666667,
08/15/2022,,0.746666666666667,0.970740740740741,0.453148148148148,0.20462962962963,0.0714814814814815,0.0427777777777778,0.0492592592592593,0.0488888888888889,0.378518518518518,0.976481481481482,0.922962962962964,0.822592592592593,1,0.83333333333333,,
09/01/2022,,0.5,0.771296296296296,0.363333333333333,0.167777777777778,0.0583333333333333,0.0496296296296296,0.0522222222222222,0.0568518518518518,0.25037037037037,0.951666666666665,1,0.990000000000001,1,0.416666666666665,,
09/15/2022,,0.25,0.817962962962963,0.455925925925926,0.21,0.0588888888888889,0.0564814814814815,0.0542592592592593,0.0646296296296296,0.196111111111111,0.94462962962963,1,1,1,0.0833333333333333,,
10/01/2022,,,0.883703703703705,0.626111111111111,0.446111111111111,0.0724074074074074,0.0612962962962963,0.0646296296296296,0.0692592592592592,0.18,0.955740740740741,1,1,0.583333333333336,,,
10/15/2022,,,0.75,0.848333333333333,0.572962962962963,0.0914814814814815,0.072962962962963,0.0701851851851852,0.0775925925925926,0.199444444444444,0.986481481481484,1,1,0.25,,,
11/01/2022,,,0.416666666666665,0.936111111111111,0.557037037037037,0.192407407407408,0.135740740740741,0.0846296296296296,0.0809259259259259,0.173518518518519,0.982962962962963,1,0.83333333333333,,,,
11/15/2022,,,0.166666666666667,0.960185185185185,0.667962962962963,0.326666666666667,0.396111111111111,0.111666666666667,0.380925925925926,0.147037037037037,0.957592592592594,1,0.583333333333336,,,,
12/01/2022,,,,0.818518518518516,0.826296296296298,0.441666666666667,0.555,0.207962962962963,0.525925925925924,0.157777777777778,0.803703703703709,1,0.416666666666665,,,,
12/15/2022,,,,0.666666666666666,0.903333333333334,0.500185185185185,0.636851851851853,0.323333333333333,0.557962962962961,0.178888888888889,0.722962962962963,1,0.416666666666665,,,,
