,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00
01/01/2022,,,,0.000925925925925926,0.0577777777777777,0.486481481481481,0.400925925925926,0.654444444444444,0.496111111111111,0.81666666666667,0.381666666666668,0,0,,,,
01/15/2022,,,,0.0346296296296297,0.0498148148148148,0.546111111111111,0.520925925925926,0.681851851851851,0.607407407407406,0.768703703703703,0.468148148148146,0,0,,,,
02/01/2022,,,,0.025,0.144814814814815,0.64074074074074,0.743333333333333,0.815555555555558,0.794629629629629,0.875740740740742,0.441481481481482,0,0,0,,,
02/15/2022,,,0,0.0244444444444444,0.23037037037037,0.705000000000001,0.882962962962964,0.913148148148148,0.921296296296296,0.911296296296296,0.359074074074074,0,0,0,,,
03/01/2022,,,0,0.178703703703704,0.210555555555556,0.782407407407408,0.932222222222222,0.931666666666667,0.927777777777778,0.902037037037037,0.334814814814815,0,0,0,,,
03/15/2022,,,0.00203703703703704,0.415,0.438333333333333,0.912222222222223,0.939259259259259,0.939259259259259,0.934814814814815,0.894814814814815,0.253148148148148,0,0,0,,,
04/01/2022,,0,0.162407407407408,0.587037037037037,0.777037037037037,0.941296296296296,0.945925925925926,0.948148148148148,0.938148148148148,0.844259259259259,0.107592592592592,0,0,0,0,,
04/15/2022,,0,0.158888888888889,0.638703703703704,0.827037037037038,0.940925925925926,0.951666666666667,0.949074074074074,0.949444444444445,0.696111111111111,0.0253703703703704,0.01,0.0912962962962963,0,0,,
05/01/2022,,0.00574074074074074,0.0374074074074074,0.588703703703703,0.802407407407407,0.931296296296296,0.958148148148148,0.951851851851852,0.952592592592593,0.48,0.0383333333333333,0.147037037037037,0.175925925925926,0,0,,
05/15/2022,0,0.0353703703703704,0.0551851851851852,0.547592592592592,0.781666666666667,0.918518518518518,0.95962962962963,0.956111111111111,0.954074074074074,0.39351851851852,0.153148148148148,0.269814814814815,0.181111111111111,0,0,0,
06/01/2022,0,0.005,0.150555555555555,0.568518518518518,0.762222222222222,0.907222222222222,0.959814814814815,0.961296296296296,0.957592592592593,0.436111111111111,0.293148148148148,0.330555555555555,0.195,0.0461111111111111,0,0.00833333333333334,
06/15/2022,0,0.000925925925925926,0.183148148148148,0.561296296296296,0.743518518518518,0.896851851851852,0.957592592592592,0.964259259259259,0.956666666666667,0.497962962962965,0.355925925925926,0.358333333333334,0.233518518518519,0.110185185185185,0,0.0138888888888889,
07/01/2022,0,0.00037037037037037,0.163888888888889,0.539074074074075,0.732962962962963,0.88962962962963,0.957592592592592,0.963888888888889,0.959814814814815,0.533333333333331,0.305555555555556,0.363888888888889,0.238333333333333,0.0979629629629629,0,0.0166666666666667,
07/15/2022,0,0.00407407407407407,0.0981481481481481,0.476666666666666,0.74,0.891296296296296,0.95962962962963,0.961481481481481,0.957222222222222,0.523518518518519,0.221296296296296,0.331666666666667,0.221666666666667,0.0138888888888889,0,0.00833333333333334,
08/01/2022,,0.0166666666666667,0.0659259259259259,0.442407407407407,0.767962962962963,0.903703703703704,0.958703703703704,0.956111111111111,0.954074074074074,0.57574074074074,0.0785185185185185,0.223888888888889,0.230740740740741,0,0,0,
08/15/2022,,0.00333333333333333,0.0292592592592593,0.546851851851852,0.795370370370371,0.928518518518518,0.957222222222222,0.950740740740741,0.951111111111111,0.621481481481481,0.0235185185185185,0.077037037037037,0.177407407407407,0,0,,
09/01/2022,,0,0.228703703703704,0.636666666666667,0.832222222222222,0.941666666666667,0.95037037037037,0.947777777777778,0.943148148148148,0.74962962962963,0.0483333333333333,0,0.01,0,0,,
09/15/2022,,0,0.182037037037037,0.544074074074074,0.79,0.941111111111111,0.943518518518518,0.945740740740741,0.93537037037037,0.803888888888889,0.0553703703703704,0,0,0,0,,
10/01/2022,,,0.116296296296296,0.373888888888889,0.553888888888889,0.927592592592592,0.938703703703704,0.93537037037037,0.930740740740741,0.82,0.0442592592592592,0,0,0,,,
10/15/2022,,,0,0.151666666666667,0.427037037037037,0.908518518518518,0.927037037037037,0.929814814814815,0.922407407407407,0.800555555555555,0.0135185185185185,0,0,0,,,
11/01/2022,,,0,0.0638888888888889,0.442962962962962,0.807592592592592,0.86425925925926,0.91537037037037,0.919074074074074,0.82648148148148,0.017037037037037,0,0,,,,
11/15/2022,,,0,0.0398148148148148,0.332037037037037,0.673333333333333,0.60388888888889,0.888333333333334,0.619074074074074,0.852962962962963,0.0424074074074074,0,0,,,,
12/01/2022,,,,0.0148148148148148,0.173703703703703,0.558333333333333,0.445,0.792037037037036,0.474074074074076,0.842222222222222,0.196296296296296,0,0,,,,
12/15/2022,,,,0,0.0966666666666667,0.499814814814815,0.363148148148148,0.676666666666667,0.442037037037038,0.821111111111113,0.277037037037038,0,0,,,,
