,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00
01/01/2022,,,,0,0.000185185185185185,0.0212962962962963,0,0,0,0,0,0,0,,,,
01/15/2022,,,,0,0,0.0442592592592593,0,0,0,0,0,0,0,,,,
02/01/2022,,,,0.00111111111111111,0.000185185185185185,0.0907407407407408,0.000740740740740741,0,0,0,0,0,0,0,,,
02/15/2022,,,0,0.0244444444444444,0.0174074074074074,0.142407407407407,0.00888888888888889,0,0,0,0,0,0,0,,,
03/01/2022,,,0,0.178703703703704,0.0914814814814814,0.280185185185185,0.0240740740740741,0,0,0,0,0,0,0,,,
03/15/2022,,,0.00203703703703704,0.415,0.386481481481481,0.485925925925926,0.0588888888888889,0,0,0,0,0,0,0,,,
04/01/2022,,0,0.143703703703704,0.582037037037037,0.768703703703703,0.638148148148148,0.106851851851852,0,0,0,0,0,0,0,0,,
04/15/2022,,0,0.153333333333333,0.607777777777778,0.827037037037038,0.734074074074075,0.177222222222222,0,0,0,0,0,0,0,0,,
05/01/2022,,0,0.0366666666666666,0.533703703703703,0.802407407407407,0.833703703703704,0.282777777777778,0,0,0,0,0,0,0,0,,
05/15/2022,0,0,0.00388888888888889,0.430925925925926,0.769444444444444,0.877037037037037,0.38962962962963,0.000185185185185185,0,0,0,0,0,0,0,0,
06/01/2022,0,0,0,0.304444444444445,0.696111111111111,0.904444444444445,0.544814814814816,0.00351851851851852,0,0,0,0,0,0,0,0,
06/15/2022,0,0,0.00111111111111111,0.243333333333333,0.639074074074074,0.89462962962963,0.636851851851852,0.0231481481481481,0,0,0,0,0,0,0,0,
07/01/2022,0,0,0,0.23037037037037,0.620555555555556,0.885555555555556,0.669629629629629,0.0268518518518518,0,0,0,0,0,0,0,0,
07/15/2022,0,0,0,0.262222222222222,0.669444444444444,0.889814814814815,0.620740740740741,0.0242592592592593,0,0,0,0,0,0,0,0,
08/01/2022,,0,0,0.356111111111111,0.750740740740741,0.88962962962963,0.471666666666667,0.00555555555555555,0,0,0,0,0,0,0,0,
08/15/2022,,0,0.0292592592592593,0.507592592592593,0.795370370370371,0.839259259259259,0.321111111111111,0,0,0,0,0,0,0,0,,
09/01/2022,,0,0.205740740740741,0.620740740740741,0.832222222222222,0.699444444444444,0.147407407407407,0,0,0,0,0,0,0,0,,
09/15/2022,,0,0.176296296296296,0.544074074074074,0.747222222222223,0.515740740740741,0.0396296296296296,0,0,0,0,0,0,0,0,,
10/01/2022,,,0.116296296296296,0.373888888888889,0.392962962962963,0.31074074074074,0.00333333333333333,0,0,0,0,0,0,0,,,
10/15/2022,,,0,0.137962962962963,0.133148148148148,0.168888888888889,0,0,0,0,0,0,0,0,,,
11/01/2022,,,0,0.00740740740740741,0.06,0.0659259259259259,0,0,0,0,0,0,0,,,,
11/15/2022,,,0,0,0.032037037037037,0.0331481481481482,0,0,0,0,0,0,0,,,,
12/01/2022,,,,0,0.0131481481481481,0.0181481481481481,0,0,0,0,0,0,0,,,,
12/15/2022,,,,0,0,0.0153703703703704,0,0,0,0,0,0,0,,,,
