,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00
01/01/2022,,,,0.5,0.999814814814815,0.978703703703704,1,1,1,1,1,1,0.583333333333336,,,,
01/15/2022,,,,0.583333333333336,1,0.955740740740741,1,1,1,1,1,1,0.83333333333333,,,,
02/01/2022,,,,0.748888888888889,0.999814814814815,0.909259259259259,0.999259259259259,1,1,1,1,1,1,0.166666666666667,,,
02/15/2022,,,0.0833333333333333,0.975555555555556,0.982592592592593,0.857592592592592,0.991111111111111,1,1,1,1,1,1,0.5,,,
03/01/2022,,,0.416666666666665,0.821296296296297,0.908518518518518,0.719814814814815,0.975925925925926,1,1,1,1,1,1,0.75,,,
03/15/2022,,,0.747962962962963,0.585,0.613518518518518,0.514074074074074,0.941111111111111,1,1,1,1,1,1,1,,,
04/01/2022,,0.25,0.856296296296298,0.417962962962963,0.231296296296296,0.361851851851852,0.893148148148147,1,1,1,1,1,1,1,0.333333333333333,,
04/15/2022,,0.583333333333336,0.846666666666667,0.392222222222222,0.172962962962963,0.265925925925926,0.822777777777778,1,1,1,1,1,1,1,0.583333333333336,,
05/01/2022,,1,0.963333333333333,0.466296296296297,0.197592592592593,0.166296296296296,0.717222222222222,1,1,1,1,1,1,1,0.83333333333333,,
05/15/2022,0.25,1,0.996111111111111,0.569074074074074,0.230555555555556,0.122962962962963,0.61037037037037,0.999814814814815,1,1,1,1,1,1,1,0.0833333333333333,
06/01/2022,0.416666666666665,1,1,0.695555555555555,0.303888888888889,0.0955555555555556,0.455185185185185,0.996481481481482,1,1,1,1,1,1,1,0.333333333333333,
06/15/2022,0.5,1,0.998888888888889,0.756666666666666,0.360925925925926,0.10537037037037,0.363148148148148,0.976851851851851,1,1,1,1,1,1,1,0.416666666666665,
07/01/2022,0.416666666666665,1,1,0.769629629629631,0.379444444444445,0.114444444444444,0.33037037037037,0.973148148148147,1,1,1,1,1,1,1,0.5,
07/15/2022,0.25,1,1,0.737777777777778,0.330555555555555,0.110185185185185,0.379259259259259,0.975740740740741,1,1,1,1,1,1,1,0.416666666666665,
08/01/2022,,1,1,0.64388888888889,0.249259259259259,0.11037037037037,0.528333333333333,0.994444444444445,1,1,1,1,1,1,1,0.166666666666667,
08/15/2022,,0.75,0.970740740740741,0.492407407407407,0.20462962962963,0.160740740740741,0.678888888888889,1,1,1,1,1,1,1,0.83333333333333,,
09/01/2022,,0.5,0.794259259259259,0.379259259259259,0.167777777777778,0.300555555555556,0.852592592592592,1,1,1,1,1,1,1,0.416666666666665,,
09/15/2022,,0.25,0.823703703703704,0.455925925925926,0.252777777777778,0.484259259259259,0.96037037037037,1,1,1,1,1,1,1,0.0833333333333333,,
10/01/2022,,,0.883703703703705,0.626111111111111,0.607037037037037,0.689259259259259,0.996666666666667,1,1,1,1,1,1,0.583333333333336,,,
10/15/2022,,,0.75,0.862037037037036,0.866851851851852,0.831111111111111,1,1,1,1,1,1,1,0.25,,,
11/01/2022,,,0.416666666666665,0.992592592592593,0.94,0.934074074074074,1,1,1,1,1,1,0.83333333333333,,,,
11/15/2022,,,0.166666666666667,1,0.967962962962963,0.966851851851852,1,1,1,1,1,1,0.583333333333336,,,,
12/01/2022,,,,0.83333333333333,0.986851851851852,0.981851851851852,1,1,1,1,1,1,0.416666666666665,,,,
12/15/2022,,,,0.666666666666666,1,0.98462962962963,1,1,1,1,1,1,0.416666666666665,,,,
