,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00
01/01/2022,,,,0.499074074074074,0.942407407407408,0.534814814814815,0.599074074074074,0.345555555555556,0.503888888888889,0.183333333333333,0.618333333333333,1,0.583333333333336,,,,
01/15/2022,,,,0.548703703703707,0.950185185185186,0.498148148148148,0.479074074074074,0.318148148148148,0.392592592592591,0.231296296296296,0.531851851851853,1,0.83333333333333,,,,
02/01/2022,,,,0.726111111111111,0.85537037037037,0.45,0.257407407407407,0.184444444444444,0.205370370370371,0.124259259259259,0.558518518518517,1,1,0.166666666666667,,,
02/15/2022,,,0.0833333333333333,1,0.787037037037037,0.437407407407408,0.125925925925926,0.0868518518518518,0.0787037037037037,0.0887037037037037,0.640925925925928,1,1,0.5,,,
03/01/2022,,,0.416666666666665,1,0.880925925925926,0.497777777777778,0.0918518518518519,0.0683333333333333,0.0722222222222222,0.097962962962963,0.66518518518519,1,1,0.75,,,
03/15/2022,,,0.75,1,0.948148148148148,0.573703703703703,0.11962962962963,0.0607407407407407,0.0651851851851852,0.105185185185185,0.74685185185185,1,1,1,,,
04/01/2022,,0.25,0.981296296296297,0.995,0.991666666666667,0.696851851851852,0.160925925925926,0.0518518518518519,0.0618518518518519,0.155740740740741,0.892407407407407,1,1,1,0.333333333333333,,
04/15/2022,,0.583333333333336,0.994444444444445,0.969074074074074,1,0.793148148148149,0.225555555555555,0.0509259259259259,0.0505555555555555,0.303888888888889,0.974629629629629,0.99,0.908703703703704,1,0.583333333333336,,
05/01/2022,,0.99425925925926,0.999259259259259,0.945,1,0.902407407407408,0.32462962962963,0.0481481481481481,0.0474074074074074,0.519999999999999,0.961666666666668,0.852962962962962,0.824074074074074,1,0.83333333333333,,
05/15/2022,0.25,0.964629629629629,0.948703703703704,0.883333333333333,0.987777777777778,0.958518518518519,0.43,0.0440740740740741,0.0459259259259259,0.606481481481483,0.846851851851852,0.730185185185185,0.818888888888889,1,1,0.0833333333333333,
06/01/2022,0.416666666666665,0.995,0.849444444444445,0.735925925925926,0.933888888888889,0.997222222222222,0.585000000000001,0.0422222222222222,0.0424074074074074,0.563888888888887,0.706851851851852,0.669444444444444,0.804999999999999,0.953888888888888,1,0.325,
06/15/2022,0.5,0.999074074074074,0.817962962962963,0.682037037037037,0.895555555555556,0.997777777777778,0.679259259259259,0.0588888888888889,0.0433333333333333,0.502037037037036,0.644074074074074,0.641666666666667,0.766481481481481,0.889814814814814,1,0.402777777777777,
07/01/2022,0.416666666666665,0.99962962962963,0.836111111111111,0.691296296296296,0.887592592592593,0.995925925925926,0.712037037037037,0.0629629629629631,0.0401851851851852,0.466666666666669,0.694444444444444,0.636111111111111,0.761666666666667,0.902037037037036,1,0.483333333333334,
07/15/2022,0.25,0.995925925925927,0.901851851851851,0.785555555555555,0.929444444444445,0.998518518518519,0.661111111111111,0.0627777777777777,0.0427777777777778,0.476481481481482,0.778703703703703,0.668333333333334,0.778333333333333,0.986111111111111,1,0.408333333333332,
08/01/2022,,0.983333333333333,0.934074074074074,0.913703703703704,0.982777777777778,0.985925925925926,0.512962962962963,0.0494444444444444,0.0459259259259259,0.424259259259259,0.921481481481482,0.776111111111111,0.769259259259259,1,1,0.166666666666667,
08/15/2022,,0.746666666666667,1,0.960740740740741,1,0.910740740740741,0.363888888888889,0.0492592592592593,0.0488888888888889,0.378518518518518,0.976481481481482,0.922962962962964,0.822592592592593,1,0.83333333333333,,
09/01/2022,,0.5,0.977037037037037,0.984074074074074,1,0.757777777777778,0.197037037037037,0.0522222222222222,0.0568518518518518,0.25037037037037,0.951666666666665,1,0.990000000000001,1,0.416666666666665,,
09/15/2022,,0.25,0.994259259259259,1,0.957222222222223,0.574629629629629,0.0961111111111111,0.0542592592592593,0.0646296296296296,0.196111111111111,0.94462962962963,1,1,1,0.0833333333333333,,
10/01/2022,,,1,1,0.839074074074074,0.383148148148148,0.0646296296296296,0.0646296296296296,0.0692592592592592,0.18,0.955740740740741,1,1,0.583333333333336,,,
10/15/2022,,,0.75,0.986296296296297,0.706111111111111,0.260370370370371,0.072962962962963,0.0701851851851852,0.0775925925925926,0.199444444444444,0.986481481481484,1,1,0.25,,,
11/01/2022,,,0.416666666666665,0.943518518518519,0.617037037037037,0.258333333333333,0.135740740740741,0.0846296296296296,0.0809259259259259,0.173518518518519,0.982962962962963,1,0.83333333333333,,,,
11/15/2022,,,0.166666666666667,0.960185185185185,0.7,0.359814814814815,0.396111111111111,0.111666666666667,0.380925925925926,0.147037037037037,0.957592592592594,1,0.583333333333336,,,,
12/01/2022,,,,0.818518518518516,0.839444444444446,0.459814814814815,0.555,0.207962962962963,0.525925925925924,0.157777777777778,0.803703703703709,1,0.416666666666665,,,,
12/15/2022,,,,0.666666666666666,0.903333333333334,0.515555555555555,0.636851851851853,0.323333333333333,0.557962962962961,0.178888888888889,0.722962962962963,1,0.416666666666665,,,,
